EventPlayerID,Score
602781,188
600581,215
602787,166
600575,217
600573,98
600578,84
602789,89
600585,15
600580,322
602796,171
600577,275
602791,181
602785,194
602793,87
602783,178
600582,40
601414,154
603064,143
601408,145
603060,125
603071,257
601420,248
603063,111
601425,9
603076,129
603073,17
603065,102
601419,104
603059,166
601426,121
601412,1
603069,113
603074,38
601421,105
603075,54
603067,60
601417,31
600109,112
603245,196
603257,340
600112,187
603250,51
603254,72
600115,102
600106,5
603251,8
603243,265
603249,239
600110,96
603247,15
600103,25
600119,28
603253,7
600087,224
604240,133
600101,108
600089,1
604227,162
604233,157
604226,173
604231,231
600091,33
604228,269
600095,35
600090,120
600093,183
600088,104
604230,34
604237,12
601124,202
601127,249
601121,203
600579,33
601123,244
601122,13
600587,53
601126,113
601125,40
600576,10
602881,44
602880,69
602891,239
602877,86
602888,46
602882,64
602879,3
602886,45
603630,171
603625,144
604234,187
603627,162
603632,176
603636,85
603635,123
603623,253
603626,135
603631,29
603634,33
604238,16
604236,1
601586,146
601584,246
602909,119
602904,349
601589,108
602895,174
601591,131
602896,239
601590,46
602907,14
601592,26
602900,100
602908,73
601587,162
601585,53
601595,31
602023,188
602033,249
602029,15
602025,63
602034,142
602028,28
603248,120
602024,50
604696,162
600144,142
600152,24
604707,130
600147,135
604702,104
600140,108
600150,383
600143,226
604694,69
600153,103
604695,51
604697,113
600142,122
604701,65
600145,40
600154,89
604699,77
604698,33
604706,16
604973,127
600179,74
600171,195
600175,89
604976,109
604975,10
600174,136
600173,180
600170,166
604968,18
600176,26
604969,60
600182,54
600177,43
600172,5
600181,2
600221,215
600223,112
600122,118
600225,48
600229,64
600228,3
600105,2
600117,77
600230,270
600234,227
600121,42
600226,1
603006,228
600276,290
602999,221
603002,193
603007,211
603010,147
600267,32
600272,163
603000,62
600274,38
600279,194
600277,45
600270,23
600271,226
604851,258
600309,206
600311,164
600298,72
600310,118
600312,62
604848,91
604862,274
600307,22
600314,151
604854,107
600299,180
604857,59
604855,163
604852,86
603042,349
600319,329
603048,169
600328,69
600315,185
603049,103
603055,31
600327,278
603043,70
600323,110
600324,134
600320,20
603052,12
603057,51
603044,199
600318,26
600322,13
603041,1
600325,10
603047,23
603462,314
603454,244
600333,232
603457,103
603452,64
